Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_A_MidMerit;new_capacity_Gen_A_MidMerit;Capacity_Gen_A_MidMerit;Gen_A_Baseload;new_capacity_Gen_A_Baseload;Capacity_Gen_A_Baseload;Gen_A_Peak;new_capacity_Gen_A_Peak;Capacity_Gen_A_Peak;Gen_A_WindOnshore;new_capacity_Gen_A_WindOnshore;Capacity_Gen_A_WindOnshore;Gen_A_PV;new_capacity_Gen_A_PV;Capacity_Gen_A_PV;Cons_A;Inelastic_Cons_A;Elastic_Cons_A;ENS_Cons_A;CapDemand_Cons_A;NetworkManager;CapacityManager
43;364.73077984381314;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;9679.087801939197;12018.860955899145;12018.860955899145;39343.31172740646;39343.31172740694;39343.31172740694;6618.269952649384;11743.404444708187;11743.404444708187;1117.0496212153985;0.0;13700.0;475.8044490570966;0.0;15403.0;-63233.52360681042;-60926.399999999994;-2307.1236068104254;0.0;17629.87;5999.99999999871;-5630.772836562952
44;341.56338086161884;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8955.106582088834;12018.860955899145;12018.860955899145;39343.31172740616;39343.31172740694;39343.31172740694;6039.084976685614;11743.404444708187;11743.404444708187;1220.2529666591647;0.0;13700.0;37.13702571053511;0.0;15403.0;-61594.89333312946;-59333.759999999995;-2261.1333331294654;0.0;17629.87;5999.999999999405;-5630.772836562952
45;322.96001458005406;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8373.751581571738;12018.860955899145;12018.860955899145;37869.993968401985;39343.31172740694;39343.31172740694;5574.000940382354;11743.404444708187;11743.404444708187;1324.9682047059737;0.0;13700.0;1.6537654375366944;0.0;15403.0;-59144.368446277585;-56962.56;-2181.8084462775864;0.0;17629.87;5999.9999999993615;-5630.772836562952
46;302.69787912996026;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7740.5597586119275;12018.860955899145;12018.860955899145;35337.22766899503;39343.31172740694;39343.31172740694;5067.447507918832;11743.404444708187;11743.404444708187;1302.4695381878917;0.0;13700.0;0.9440603983049635;0.0;15403.0;-55448.64852103096;-53392.32;-2056.328521030964;0.0;17629.87;5999.999999999667;-5630.772836562952
47;279.44246929750796;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7013.8281032746445;12018.860955899145;12018.860955899145;32430.30212688743;39343.31172740694;39343.31172740694;4486.062211858629;11743.404444708187;11743.404444708187;1241.5053099448348;0.0;13700.0;0.9035627300232456;0.0;15403.0;-51172.60130285539;-49263.36;-1909.2413028553933;0.0;17629.87;6000.000000000654;-5630.772836562952
48;262.418090012083;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;6481.81618111022;12018.860955899145;12018.860955899145;30302.2552027601;39343.31172740694;39343.31172740694;4060.452694122247;11743.404444708187;11743.404444708187;1121.3271408921473;0.0;13700.0;0.9440603983049635;0.0;15403.0;-47966.79526832494;-46169.28;-1797.5152683249376;0.0;17629.87;5999.999999998152;-5630.772836562952
49;251.09218621560981;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;6127.881636833006;12018.860955899145;12018.860955899145;28886.51758020185;39343.31172740694;39343.31172740694;3777.305073531426;11743.404444708187;11743.404444708187;2438.189303761951;0.0;13700.0;1.2142661522501956;0.0;15403.0;-47231.10785015649;-45456.0;-1775.1078501564916;0.0;17629.87;5999.999999999616;-5630.772836562952
50;246.09208484089507;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;5971.628446545971;12018.860955899145;12018.860955899145;28261.50506437407;39343.31172740694;39343.31172740694;3652.302527734526;11743.404444708187;11743.404444708187;2671.494466275439;0.0;13700.0;1.2109466712434975;0.0;15403.0;-46558.14144155946;-44806.08;-1752.061441559461;0.0;17629.87;6000.000000001053;-5630.772836562952
51;246.15890470190362;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;5973.716565704091;12018.860955899145;12018.860955899145;28269.8575573236;39343.31172740694;39343.31172740694;3653.973023494408;11743.404444708187;11743.404444708187;2841.910331410378;0.0;13700.0;1.2023160206260821;0.0;15403.0;-46740.659783930474;-44981.759999999995;-1758.899783930483;0.0;17629.87;6000.0000000000655;-5630.772836562952
52;252.47586724816753;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;6171.121669411365;12018.860955899145;12018.860955899145;29059.47770665884;39343.31172740694;39343.31172740694;3811.897099516018;11743.404444708187;11743.404444708187;2962.7697167788983;0.0;13700.0;1.2222329066662714;0.0;15403.0;-48006.488414944506;-46202.88;-1803.6084149445085;0.0;17629.87;5999.999999999753;-5630.772836562952
53;268.14817594213974;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;6660.88137952098;12018.860955899145;12018.860955899145;31018.515858599403;39343.31172740694;39343.31172740694;4203.704849584962;11743.404444708187;11743.404444708187;3019.5293025213346;0.0;13700.0;46.38244421039207;0.0;15403.0;-50949.01382320302;-49042.56;-1906.4538232030272;0.0;17629.87;6000.000000509235;-5630.772836562952
54;303.9520069900296;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;7779.751247449892;12018.860955899145;12018.860955899145;35493.99369604782;39343.31172740694;39343.31172740694;5098.800701191005;11743.404444708187;11743.404444708187;2796.276867091072;0.0;13700.0;543.2257638879421;0.0;15403.0;-57712.0482626695;-55572.479999999996;-2139.5682626695047;0.0;17629.87;5999.999999999576;-5630.772836562952
55;327.4541550064942;-0.00025423263309246947;23260.641759523474;17629.87;23260.641759523474;8514.19347600334;12018.860955899145;12018.860955899145;38431.76147544411;39343.31172740694;39343.31172740694;5686.354454378421;11743.404444708187;11743.404444708187;2150.4319210145927;0.0;13700.0;1835.5388896714242;0.0;15403.0;-62618.28020220928;-60311.04;-2307.240202209278;0.0;17629.87;5999.999999999685;-5630.772836562952
