Timestep;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
28;95.67709413374263;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1271.15122055687;2166.3933557577525;2166.3933557577525;9459.417849182159;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;476.3345364464705;0.0;5315.0;0.0;0.0;8788.0;-8075.266418751693;-7759.679999999999;-315.5864187516934;0.0;15468.46;-3131.637534983237;2503.700065476736
29;98.87590320921875;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1371.133725781076;2166.3933557577525;2166.3933557577525;9602.514708851044;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;468.5929407483147;0.0;5315.0;0.0;0.0;8788.0;-8469.617302502313;-8138.88;-330.7373025023124;0.0;15468.46;-2972.6237807857774;2503.700065476736
30;111.39469647961822;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1762.3365458674075;2166.3933557577525;2166.3933557577525;9602.514708851824;9602.514708851957;9602.514708851957;189.91205281446108;1196.4099511772965;1196.4099511772965;518.6693272319536;0.0;5315.0;4.325346192686995;0.0;8788.0;-9392.52555717107;-9026.88;-365.64555717107027;0.0;15468.46;-2685.232346117046;2503.700065476736
31;128.1590253456823;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2166.3933557572873;2166.3933557577525;2166.3933557577525;9602.514708851892;9602.514708851957;9602.514708851957;469.3180693096888;1196.4099511772965;1196.4099511772965;584.9586637069598;0.0;5315.0;176.81969057634467;0.0;8788.0;-10149.975196866153;-9756.48;-393.49519686615406;0.0;15468.46;-2850.0295663712436;2503.700065476736
32;123.00168551185887;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;2125.0548168265022;2166.3933557577525;2166.3933557577525;9602.51470885188;9602.514708851957;9602.514708851957;383.3618424070466;1196.4099511772965;1196.4099511772965;604.244512842569;0.0;5315.0;715.329139738744;0.0;8788.0;-10532.02947277255;-10123.199999999999;-408.82947277255164;0.0;15468.46;-2898.4754743341787;2503.700065476736
33;101.06641585756121;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1439.573827436178;2166.3933557577525;2166.3933557577525;9602.514708851511;9602.514708851957;9602.514708851957;17.773012346675714;1196.4099511772965;1196.4099511772965;549.9742125054148;0.0;5315.0;1618.3105763993983;0.0;8788.0;-10728.146476677366;-10309.44;-418.7064766773657;0.0;15468.46;-2500.0000000769523;2503.700065476736
34;87.39768218700443;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;1012.4275345137714;2166.3933557577525;2166.3933557577525;8424.710394567624;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;614.6721477068648;0.0;5315.0;3165.814773843766;0.0;8788.0;-10717.624850629118;-10297.92;-419.70485062911695;0.0;15468.46;-2500.0000000104706;2503.700065476736
35;78.35482360184307;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;729.8382366370915;2166.3933557577525;2166.3933557577525;7294.352949500315;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;708.6395571606253;0.0;5315.0;4602.672459652589;0.0;8788.0;-10835.503202927937;-10410.24;-425.26320292793736;0.0;15468.46;-2500.0000000035575;2503.700065476736
36;71.74687927913064;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;523.3399782736602;2166.3933557577525;2166.3933557577525;6468.3599038544;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;639.8356308279559;0.0;5315.0;5474.849273295035;0.0;8788.0;-10606.384786232886;-10189.44;-416.94478623288535;0.0;15468.46;-2500.0000000027876;2503.700065476736
37;70.68717120679068;0.0027671093280090394;12964.759620099234;15468.46;12964.759620099234;490.2241021890352;2166.3933557577525;2166.3933557577525;6335.896390648818;9602.514708851957;9602.514708851957;0.0;1196.4099511772965;1196.4099511772965;639.769688786234;0.0;5315.0;5432.754111371716;0.0;8788.0;-10398.644292964034;-9989.76;-408.8842929640334;0.0;15468.46;-2500.0000000029836;2503.700065476736
