Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_C_MidMerit;new_capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_Baseload;new_capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_Peak;new_capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Gen_C_PV;new_capacity_Gen_C_PV;Capacity_Gen_C_PV;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;ENS_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager
64;3;138;52.26884159137516;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;0.0;2792.8796582602117;2792.8796582602117;4033.6051989216135;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;245.4884609;0.0;8300.0;9645.4547;0.0;18662.0;-10424.548359821632;-10012.8;-411.74835982163313;0.0;17169.93;-3499.9999999999905;2589.7472503802774
65;3;138;66.14901181956424;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;348.406620195461;2792.8796582602117;2792.8796582602117;5768.626473891339;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;261.45;0.0;8300.0;8606.9144;0.0;18662.0;-11485.397494071523;-11033.279999999999;-452.1174940715239;0.0;17169.93;-3500.0000000000014;2589.7472503802774
66;3;138;79.08685608443919;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;752.7142539986431;2792.8796582602117;2792.8796582602117;7385.857004759507;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;242.2961564;0.0;8300.0;7146.6129;0.0;18662.0;-12027.480315133236;-11555.52;-471.96031513323635;0.0;17169.93;-3499.999999999986;2589.7472503802774
67;3;138;94.793243399932;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;1243.5388583200836;2792.8796582602117;2792.8796582602117;9349.155416160515;10670.46469872711;10670.46469872711;0.0;1116.838430358062;1116.838430358062;181.3230782;0.0;8300.0;5362.99225;0.0;18662.0;-12637.009602642622;-12143.039999999999;-493.969602642623;0.0;17169.93;-3499.9999999999804;2589.7472503802774
68;3;138;121.88971057466844;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2090.291020470629;2792.8796582602117;2792.8796582602117;10670.464698727941;10670.46469872711;10670.46469872711;273.61994413685034;1116.838430358062;1116.838430358062;175.2576955;0.0;8300.0;3387.61955;0.0;18662.0;-13137.966623708648;-12627.84;-510.12662370864734;0.0;17169.93;-3459.2867503832717;2589.7472503802774
69;3;138;158.95701376189868;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.879658261178;2792.8796582602117;2792.8796582602117;10670.464698727945;10670.46469872711;10670.46469872711;736.9616290800086;1116.838430358062;1116.838430358062;198.24230450000002;0.0;8300.0;1679.58;0.0;18662.0;-13387.68545131182;-12872.64;-515.0454513118199;0.0;17169.93;-2690.443190716163;2589.7472503802774
70;3;138;217.04868502207395;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.879658261196;2792.8796582602117;2792.8796582602117;10670.464698727947;10670.46469872711;10670.46469872711;1116.8384303581015;1116.838430358062;1116.838430358062;257.3;0.0;8300.0;471.2155;0.0;18662.0;-13078.55142885416;-12582.72;-495.83142885415987;0.0;17169.93;-2230.146858491209;2589.7472503802774
71;3;138;183.3838936705579;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2792.8796582611953;2792.8796582602117;2792.8796582602117;10670.464698727947;10670.46469872711;10670.46469872711;1042.3021488169375;1116.838430358062;1116.838430358062;362.32692180000004;0.0;8300.0;24.2606;0.0;18662.0;-12392.232898323906;-11918.4;-473.8328983239054;0.0;17169.93;-2499.99999999999;2589.7472503802774
72;3;138;131.54369916641528;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2392.000093393517;2792.8796582602117;2792.8796582602117;10670.464698727943;10670.46469872711;10670.46469872711;394.2973408745159;1116.838430358062;1116.838430358062;580.0423045;0.0;8300.0;0.0;0.0;18662.0;-11536.804074417223;-11089.92;-446.88407441722273;0.0;17169.93;-2499.999999999995;2589.7472503802774
73;4;230;124.19222217460572;69999.99593013558;14580.182787346776;17169.93;14580.182787346776;2162.266438385898;2792.8796582602117;2792.8796582602117;10670.464698727938;10670.46469872711;10670.46469872711;302.4038785915518;1116.838430358062;1116.838430358062;342.2153827;0.0;8300.0;0.0;0.0;18662.0;-10977.350035287474;-10551.359999999999;-425.9900352874748;0.0;17169.93;-2500.0000000000227;2589.7472503802774
