Timestep;Day;DayOfYear;EOM_price;CM_price;TotalCapOffer;TotalCapDemanded;TotalLocalCapSupply;Gen_B_MidMerit;new_capacity_Gen_B_MidMerit;Capacity_Gen_B_MidMerit;Gen_B_Baseload;new_capacity_Gen_B_Baseload;Capacity_Gen_B_Baseload;Gen_B_Peak;new_capacity_Gen_B_Peak;Capacity_Gen_B_Peak;Gen_B_WindOnshore;new_capacity_Gen_B_WindOnshore;Capacity_Gen_B_WindOnshore;Gen_B_PV;new_capacity_Gen_B_PV;Capacity_Gen_B_PV;Cons_B;Inelastic_Cons_B;Elastic_Cons_B;ENS_Cons_B;CapDemand_Cons_B;NetworkManager;CapacityManager
45;2;116;129.92974570842608;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410409947;2145.203441041757;2145.203441041757;9570.828799173238;9570.828799172587;9570.828799172587;498.8309371072093;2899.0751003770793;2899.0751003770793;629.0167398494434;0.0;5315.0;0.034633554923656704;0.0;8788.0;-9698.382524008546;-9322.56;-375.8225240085468;0.0;15468.46;-3145.5317729428093;853.3526925324056
46;2;116;136.51057491152355;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.2034410414494;2145.203441041757;2145.203441041757;9570.82879917324;9570.828799172587;9570.828799172587;608.5114237007102;2899.0751003770793;2899.0751003770793;619.2836944912859;0.0;5315.0;0.0;0.0;8788.0;-9548.946860417382;-9179.52;-369.42686041738034;0.0;15468.46;-3394.880244228515;853.3526925324056
47;2;116;123.6457252387653;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;2145.148470845403;2145.203441041757;2145.203441041757;9570.828799173232;9570.828799172587;9570.828799172587;394.0908591806522;2899.0751003770793;2899.0751003770793;570.5657140671185;0.0;5315.0;0.0;0.0;8788.0;-9180.634480968214;-8824.32;-356.31448096821384;0.0;15468.46;-3499.9999999998704;853.3526925324056
48;2;116;114.53440619971127;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1860.4347333292972;2145.203441041757;2145.203441041757;9570.828799173221;9570.828799172587;9570.828799172587;242.23657265818332;2899.0751003770793;2899.0751003770793;509.5429486576375;0.0;5315.0;0.0;0.0;8788.0;-8683.043521295704;-8345.279999999999;-337.76352129570483;0.0;15468.46;-3499.9999999997344;853.3526925324056
49;3;138;101.1989989555973;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1443.7032565434959;2145.203441041757;2145.203441041757;9570.828799173198;9570.828799172587;9570.828799172587;19.979784719119003;2899.0751003770793;2899.0751003770793;754.0912084514993;0.0;5315.0;0.0;0.0;8788.0;-8288.60351640523;-7965.12;-323.48351640522975;0.0;15468.46;-3499.9999999999;853.3526925324056
50;3;138;95.35565805925788;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1261.1143365341793;2145.203441041757;2145.203441041757;9419.457163418658;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;1049.5731012713848;0.0;5315.0;0.0;0.0;8788.0;-8230.144600890992;-7908.48;-321.66460089099274;0.0;15468.46;-3499.999999999975;853.3526925324056
51;3;138;94.5181961834595;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1234.9436523506215;2145.203441041757;2145.203441041757;9314.774431338872;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;1047.6212168364154;0.0;5315.0;0.0;0.0;8788.0;-8097.339300201166;-7780.799999999999;-316.53930020116655;0.0;15468.46;-3499.9999999999754;853.3526925324056
52;3;138;95.55951261648133;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1267.484791632798;2145.203441041757;2145.203441041757;9444.938982286918;9570.828799172587;9570.828799172587;0.0;2899.0751003770793;2899.0751003770793;936.7814369740689;0.0;5315.0;0.0;0.0;8788.0;-8149.205210557785;-7830.719999999999;-318.4852105577857;0.0;15468.46;-3499.999999999968;853.3526925324056
53;3;138;102.29771314844223;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1478.0811596995961;2145.203441041757;2145.203441041757;9570.828799173209;9570.828799172587;9570.828799172587;38.30174607077872;2899.0751003770793;2899.0751003770793;706.797576128526;0.0;5315.0;0.0;0.0;8788.0;-8311.488835305838;-7987.2;-324.2888353058372;0.0;15468.46;-3482.5195506846953;853.3526925324056
54;3;138;107.65338768271259;70000.00001498465;14615.107340592205;15468.46;14615.107340592205;1645.425103114626;2145.203441041757;2145.203441041757;9570.828799173232;9570.828799172587;9570.828799172587;127.55796610772393;2899.0751003770793;2899.0751003770793;544.9714096067772;0.0;5315.0;165.01734469291574;0.0;8788.0;-8808.507125457485;-8465.279999999999;-343.22712545748635;0.0;15468.46;-3245.2932975328927;853.3526925324056
